dateOfLoss,occupancyType,countyCode,causeOfDamage,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,buildingDamageAmount,netBuildingPaymentAmount
2015-10-27T00:00:00.000Z,1,45043.0,4,5297.07,5068.0,154.0,5297.07
2015-10-15T00:00:00.000Z,11,45079.0,0,,,,0.0
2015-11-09T00:00:00.000Z,1,45019.0,4,,,1601.0,0.0
2015-10-03T00:00:00.000Z,1,45019.0,4,1107.77,0.0,2558.0,1107.77
2015-10-04T00:00:00.000Z,6,45035.0,2,30073.66,0.0,31323.0,30073.66
2015-10-04T00:00:00.000Z,1,45051.0,0,4436.9,8242.07,5687.0,4436.9
2015-10-03T00:00:00.000Z,18,45019.0,4,55821.18,0.0,57071.0,55821.18
2015-10-04T00:00:00.000Z,11,45019.0,4,84570.67,3895.38,79587.0,84570.67
2015-10-04T00:00:00.000Z,3,45079.0,4,57069.91,42143.11,58069.0,57069.91
2015-10-03T00:00:00.000Z,1,45019.0,0,12447.34,0.0,14448.0,12447.34
2015-10-03T00:00:00.000Z,1,45079.0,2,33346.57,24545.75,29226.0,33346.57
2015-10-02T00:00:00.000Z,2,45043.0,2,35125.65,0.0,40126.0,35125.65
2015-10-04T00:00:00.000Z,1,45019.0,4,,,1108.0,0.0
2015-10-03T00:00:00.000Z,1,45075.0,4,84559.24,28438.25,78176.0,84559.24
2015-10-04T00:00:00.000Z,11,45075.0,4,17008.14,0.0,12029.0,17008.14
2015-10-04T00:00:00.000Z,1,45063.0,2,,,,0.0
2015-12-30T00:00:00.000Z,18,45057.0,4,14269.32,0.0,15269.0,14269.32
2015-10-27T00:00:00.000Z,1,45013.0,4,434.36,0.0,1684.0,434.36
2015-10-04T00:00:00.000Z,1,45079.0,4,5000.0,0.0,59485.0,5000.0
2015-10-04T00:00:00.000Z,1,45015.0,4,8867.15,0.0,10867.0,8867.15
2015-10-04T00:00:00.000Z,3,45019.0,4,0.0,3482.33,,0.0
2015-10-03T00:00:00.000Z,11,45019.0,4,2969.87,0.0,4219.0,2969.87
2015-10-03T00:00:00.000Z,11,45019.0,4,7836.26,0.0,8396.0,7836.26
2015-10-03T00:00:00.000Z,11,45051.0,0,1526.33,0.0,2777.0,1526.33
2015-10-04T00:00:00.000Z,1,45079.0,2,250000.0,100000.0,264533.0,250000.0
2015-10-04T00:00:00.000Z,11,45063.0,4,13469.11,0.0,13954.0,13469.11
2015-10-02T00:00:00.000Z,1,45019.0,4,7420.08,0.0,7958.0,7420.08
2015-10-03T00:00:00.000Z,2,45079.0,4,98670.19,0.0,100670.0,98670.19
2015-10-01T00:00:00.000Z,11,45085.0,4,,,142.0,0.0
2015-10-04T00:00:00.000Z,11,45079.0,2,20851.91,0.0,24161.0,20851.91
2015-10-04T00:00:00.000Z,1,45079.0,4,5749.48,0.0,6572.0,5749.48
2015-08-31T00:00:00.000Z,1,45015.0,4,12762.45,9096.42,14762.0,12762.45
2015-10-02T00:00:00.000Z,1,45019.0,1,,,,0.0
2015-10-04T00:00:00.000Z,1,45015.0,0,3282.28,0.0,2725.0,3282.28
2015-10-04T00:00:00.000Z,15,45051.0,4,84882.28,0.0,86132.0,84882.28
2015-06-09T00:00:00.000Z,1,45019.0,0,6351.95,0.0,7351.0,6351.95
2015-10-05T00:00:00.000Z,11,45019.0,4,1357.4,0.0,3357.0,1357.4
2015-10-04T00:00:00.000Z,1,45051.0,1,24502.67,0.0,25219.0,24502.67
2015-10-04T00:00:00.000Z,2,45079.0,4,40034.63,0.0,45035.0,40034.63
2015-10-04T00:00:00.000Z,1,45085.0,4,19593.43,0.0,19603.0,19593.43
2015-10-02T00:00:00.000Z,2,45079.0,2,17919.33,0.0,18919.0,17919.33
2015-10-04T00:00:00.000Z,1,45079.0,4,,,33.0,0.0
2015-10-02T00:00:00.000Z,11,45019.0,0,,,1220.0,0.0
2015-10-03T00:00:00.000Z,2,45019.0,4,15927.06,0.0,16762.0,15927.06
2015-10-03T00:00:00.000Z,1,45015.0,4,6885.04,0.0,8784.0,6885.04
2015-10-04T00:00:00.000Z,1,45019.0,4,,,1052.0,0.0
2015-10-27T00:00:00.000Z,11,45019.0,4,4394.5,0.0,5644.0,4394.5
2015-10-04T00:00:00.000Z,1,45051.0,2,18342.76,0.0,17581.0,18342.76
2015-10-03T00:00:00.000Z,11,45019.0,4,5758.67,0.0,6106.0,5758.67
2015-10-02T00:00:00.000Z,1,45019.0,4,3452.9,0.0,3958.0,3452.9
2015-10-03T00:00:00.000Z,11,45019.0,1,,,1252.0,0.0
2015-10-06T00:00:00.000Z,1,45041.0,4,9917.6,0.0,10871.0,9917.6
2015-10-04T00:00:00.000Z,11,45079.0,2,147203.74,0.0,117847.0,147203.74
2015-10-04T00:00:00.000Z,11,45079.0,2,23642.93,0.0,27893.0,23642.93
2015-10-04T00:00:00.000Z,1,45043.0,4,649.77,0.0,1650.0,649.77
2015-10-04T00:00:00.000Z,1,45045.0,0,,,,0.0
2015-10-04T00:00:00.000Z,3,45079.0,4,10347.82,0.0,11347.0,10347.82
2015-09-03T00:00:00.000Z,1,45051.0,0,7507.75,0.0,9508.0,7507.75
2015-10-03T00:00:00.000Z,1,45051.0,2,583.63,4688.26,1833.0,583.63
2015-10-03T00:00:00.000Z,11,45019.0,4,12538.45,0.0,13273.0,12538.45
2015-10-04T00:00:00.000Z,11,45041.0,2,56284.81,0.0,51903.0,56284.81
2015-10-04T00:00:00.000Z,12,45043.0,4,7293.33,0.0,8543.0,7293.33
2015-10-04T00:00:00.000Z,1,45019.0,4,1508.7,0.0,2758.0,1508.7
2015-10-01T00:00:00.000Z,1,45019.0,4,31696.04,4585.57,26229.0,31696.04
2015-09-06T00:00:00.000Z,1,45063.0,4,8161.88,0.0,10161.0,8161.88
2015-10-03T00:00:00.000Z,11,45035.0,4,35234.21,10137.04,32841.0,35234.21
2015-10-05T00:00:00.000Z,1,45035.0,4,,,4533.0,0.0
2015-10-04T00:00:00.000Z,1,45051.0,4,56753.56,0.0,54675.0,56753.56
2015-10-04T00:00:00.000Z,11,45079.0,2,24543.62,0.0,25396.0,24543.62
2015-10-04T00:00:00.000Z,1,45051.0,2,45.08,0.0,1295.0,45.08
2015-10-05T00:00:00.000Z,1,45019.0,2,0.0,0.0,1296.0,0.0
2015-10-04T00:00:00.000Z,1,45015.0,1,10861.3,0.0,11598.0,10861.3
2015-10-03T00:00:00.000Z,1,45035.0,0,,,,0.0
2015-10-04T00:00:00.000Z,1,45063.0,2,22777.28,0.0,21484.0,22777.28
2015-10-04T00:00:00.000Z,11,45063.0,0,11338.99,0.0,16339.0,11338.99
2015-10-03T00:00:00.000Z,1,45019.0,2,1673.15,0.0,2923.0,1673.15
2015-10-04T00:00:00.000Z,1,45051.0,0,0.0,2495.15,,0.0
2015-10-04T00:00:00.000Z,11,45051.0,2,17230.72,0.0,17820.0,17230.72
2015-10-04T00:00:00.000Z,6,45019.0,4,3651.39,0.0,5651.0,3651.39
2015-08-31T00:00:00.000Z,1,45019.0,4,3948.1,0.0,5198.0,3948.1
2015-10-05T00:00:00.000Z,1,45019.0,2,,,819.0,0.0
2015-10-03T00:00:00.000Z,1,45019.0,1,5516.99,0.0,6539.0,5516.99
2015-10-04T00:00:00.000Z,2,45019.0,0,5676.26,0.0,7677.0,5676.26
2015-10-04T00:00:00.000Z,1,45019.0,4,34636.01,5300.0,33106.0,34636.01
2015-10-06T00:00:00.000Z,1,45055.0,2,865.11,0.0,2096.0,865.11
2015-10-05T00:00:00.000Z,1,45019.0,2,,,3193.0,0.0
